id,label
1021655183.jpg,2.0
1103977756.jpg,2.0
127157286.jpg,2.0
1312388258.jpg,2.0
1314818419.jpg,2.0
1318025509.jpg,2.0
136000699.jpg,2.0
1527255990.jpg,2.0
1587460202.jpg,2.0
1722033032.jpg,2.0
1812275285.jpg,2.0
1851047251.jpg,2.0
1998622752.jpg,2.0
215841447.jpg,2.0
2250996072.jpg,2.0
2286469795.jpg,2.0
23064716.jpg,2.0
2924102968.jpg,2.0
3195057988.jpg,2.0
3448607006.jpg,2.0
3558210232.jpg,2.0
3670635448.jpg,2.0
3717326513.jpg,2.0
379034521.jpg,2.0
3802270456.jpg,2.0
3838519719.jpg,2.0
4137861888.jpg,2.0
4167054860.jpg,2.0
645203852.jpg,2.0
887328137.jpg,2.0
889769958.jpg,2.0
